id;code;name;english_name;nhi_icd9cm_id
114;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;49
115;C041;口底側部惡性腫瘤;Malignant neoplasm of lateral floor of mouth;50
116;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;50
117;C048;口底重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of floor of mouth;51
118;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;51
119;C049;口底惡性腫瘤;Malignant neoplasm of floor of mouth, unspecified;52
120;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;52
121;C060;頰粘膜惡性腫瘤;Malignant neoplasm of cheek mucosa;53
122;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;53
123;C061;口前庭部惡性腫瘤;Malignant neoplasm of vestibule of mouth;54
124;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;54
125;C050;硬顎惡性腫瘤;Malignant neoplasm of hard palate;55
126;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;55
127;C051;軟顎惡性腫瘤;Malignant neoplasm of soft palate;56
128;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;56
129;C052;懸雍垂惡性腫瘤;Malignant neoplasm of uvula;57
130;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;57
131;C058;顎重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of palate;58
132;C059;顎惡性腫瘤;Malignant neoplasm of palate, unspecified;58
133;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;58
134;C062;臼齒後區惡性腫瘤;Malignant neoplasm of retromolar area;59
135;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;59
136;C0680;口腔未明示重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of unspecified parts of mouth;60
137;C0689;口腔其他重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of other parts of mouth;60
138;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;60
139;C069;口惡性腫瘤;Malignant neoplasm of mouth, unspecified;61
140;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;61
141;C098;扁桃體重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of tonsil;62
142;C099;扁桃腺惡性腫瘤;Malignant neoplasm of tonsil, unspecified;62
143;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;62
144;C090;扁桃腺窩惡性腫瘤;Malignant neoplasm of tonsillar fossa;63
145;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;63
146;C091;扁桃腺柱(前,後)惡性腫瘤;Malignant neoplasm of tonsillar pillar (anterior) (posterior);64
147;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;64
148;C100;會厭谿部惡性腫瘤;Malignant neoplasm of vallecula;65
149;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;65
150;C101;會厭前面惡性腫瘤;Malignant neoplasm of anterior surface of epiglottis;66
151;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;66
152;C108;口咽重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of oropharynx;67
153;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;67
154;C102;口咽側壁惡性腫瘤;Malignant neoplasm of lateral wall of oropharynx;68
155;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;68
156;C103;口咽後壁惡性腫瘤;Malignant neoplasm of posterior wall of oropharynx;69
157;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;69
158;C104;鰓裂惡性腫瘤;Malignant neoplasm of branchial cleft;70
159;C108;口咽重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of oropharynx;70
160;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;70
161;C109;口咽惡性腫瘤;Malignant neoplasm of oropharynx, unspecified;71
162;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;71
163;C110;鼻咽上壁惡性腫瘤;Malignant neoplasm of superior wall of nasopharynx;72
164;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;72
165;C111;鼻咽後壁惡性腫瘤;Malignant neoplasm of posterior wall of nasopharynx;73
166;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;73
167;C112;鼻咽側壁惡性腫瘤;Malignant neoplasm of lateral wall of nasopharynx;74
168;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;74
169;C113;鼻咽前壁惡性腫瘤;Malignant neoplasm of anterior wall of nasopharynx;75
170;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;75
171;C118;鼻咽重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of nasopharynx;76
172;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;76
173;C119;鼻咽惡性腫瘤;Malignant neoplasm of nasopharynx, unspecified;77
174;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;77
175;C130;環狀軟骨後部惡性腫瘤;Malignant neoplasm of postcricoid region;78
176;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;78
177;C12;梨狀竇惡性腫瘤;Malignant neoplasm of pyriform sinus;79
178;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;79
179;C131;杓狀軟骨皺壁下咽面惡性腫瘤;Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect;80
180;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;80
181;C132;下咽後壁惡性腫瘤;Malignant neoplasm of posterior wall of hypopharynx;81
182;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;81
183;C138;下咽重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of hypopharynx;82
184;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;82
185;C139;下咽惡性腫瘤;Malignant neoplasm of hypopharynx, unspecified;83
186;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;83
187;C140;咽部惡性腫瘤;Malignant neoplasm of pharynx, unspecified;84
188;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;84
189;C142;Waldeyer氏扁桃環惡性腫瘤;Malignant neoplasm of Waldeyer's ring;85
190;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;85
191;C148;唇，口腔及咽重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx;86
192;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;86
193;C148;唇，口腔及咽重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx;87
194;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;87
195;C300;鼻腔惡性腫瘤;Malignant neoplasm of nasal cavity;88
196;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;88
197;C301;中耳惡性腫瘤;Malignant neoplasm of middle ear;89
198;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;89
199;C310;上頜竇惡性腫瘤;Malignant neoplasm of maxillary sinus;90
200;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;90
201;C311;篩竇惡性腫瘤;Malignant neoplasm of ethmoidal sinus;91
202;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;91
203;C312;額竇惡性腫瘤;Malignant neoplasm of frontal sinus;92
204;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;92
205;C313;蝶竇惡性腫瘤;Malignant neoplasm of sphenoid sinus;93
206;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;93
207;C318;副鼻竇重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of accessory sinuses;94
208;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;94
209;C319;副鼻竇惡性腫瘤;Malignant neoplasm of accessory sinus, unspecified;95
210;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;95
211;C410;顱骨及顏面骨之惡性腫瘤;Malignant neoplasm of bones of skull and face;96
212;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;96
213;C411;下頜骨惡性腫瘤;Malignant neoplasm of mandible;97
214;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;97
215;C462;顎卡波西氏肉瘤;Kaposi's sarcoma of palate;98
216;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;98
217;C760;頭，顏面及頸之惡性腫瘤;Malignant neoplasm of head, face and neck;99
218;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;99
219;C8331;頭，臉及頸部淋巴結之瀰漫性巨大B-細胞淋巴瘤;Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck;100
220;C8461;頭，臉及頸淋巴結之異生性巨大細胞淋巴瘤ALK-陽性;Anaplastic large cell lymphoma, ALK-positive, lymph nodes of head, face, and neck;100
221;C8471;頭，臉及頸淋巴結之異生性巨大細胞淋巴瘤ALK-陰性;Anaplastic large cell lymphoma, ALK-negative, lymph nodes of head, face, and neck;100
222;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;100
223;C8301;頭，臉及頸部淋巴結之小細胞B-細胞淋巴瘤;Small cell B-cell lymphoma, lymph nodes of head, face, and neck;101
224;C8381;頭，臉及頸淋巴結之其他非濾泡型淋巴瘤;Other non-follicular lymphoma, lymph nodes of head, face, and neck;101
225;C8391;頭，臉及頸淋巴結之非濾泡型（瀰漫性）淋巴瘤;Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of head, face, and neck;101
226;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;101
227;C8191;頭,臉及頸部淋巴結之何杰金淋巴瘤;Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck;102
228;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;102
229;C8121;頭，臉及頸部淋巴結之混合細胞典型何杰金淋巴瘤;Mixed cellularity classical Hodgkin lymphoma, lymph nodes of head, face, and neck;103
230;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;103
231;C8131;頭，臉及頸部淋巴結之淋巴球缺乏典型何杰金淋巴瘤;Lymphocyte depleted classical Hodgkin lymphoma, lymph nodes of head, face, and neck;104
232;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;104
233;C8201;頭,臉及頸部淋巴結之I期濾泡型淋巴瘤;Follicular lymphoma grade I, lymph nodes of head, face, and neck;105
234;C8211;頭,臉及頸部淋巴結之II期濾泡型淋巴瘤;Follicular lymphoma grade II, lymph nodes of head, face, and neck;105
235;C8221;頭,臉及頸部淋巴結之III期濾泡型淋巴瘤;Follicular lymphoma grade III, unspecified, lymph nodes of head, face, and neck;105
236;C8231;頭,臉及頸部淋巴結之IIIa期濾泡型淋巴瘤;Follicular lymphoma grade IIIa, lymph nodes of head, face, and neck;105
237;C8241;頭、臉及頸部淋巴結之IIIb期濾泡型淋巴瘤;Follicular lymphoma grade IIIb, lymph nodes of head, face, and neck;105
238;C8251;頭、臉及頸部淋巴結之瀰漫性濾泡型中心淋巴瘤;Diffuse follicle center lymphoma, lymph nodes of head, face, and neck;105
239;C8261;頭、臉及頸部淋巴結之皮膚濾泡型中心淋巴瘤;Cutaneous follicle center lymphoma, lymph nodes of head, face, and neck;105
240;C8281;頭、臉及頸部淋巴結之其他類型濾胞型淋巴瘤;Other types of follicular lymphoma, lymph nodes of head, face, and neck;105
241;C8291;頭，臉及頸部淋巴結之濾泡型淋巴瘤;Follicular lymphoma, unspecified, lymph nodes of head, face, and neck;105
242;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;105
243;C8401;頭、臉及頸部淋巴結之蕈狀肉芽腫;Mycosis fungoides, lymph nodes of head, face, and neck;106
244;C8441;頭，臉及頸部淋巴結之周邊Ｔ細胞淋巴瘤，未分類;Peripheral T-cell lymphoma, not classified, lymph nodes of head, face, and neck;106
245;C8491;頭，臉及頸淋巴結之成熟T/NK細胞淋巴瘤;Mature T/NK-cell lymphomas, unspecified, lymph nodes of head, face, and neck;106
246;C84A1;頭，臉及頸淋巴結之皮膚Ｔ細胞淋巴瘤;Cutaneous T-cell lymphoma, unspecified lymph nodes of head, face, and neck;106
247;C84Z1;頭，臉及頸淋巴結之其他成熟T/NK-細胞淋巴瘤;Other mature T/NK-cell lymphomas, lymph nodes of head, face, and neck;106
248;C860;淋巴結外鼻腔型NK/T–細胞淋巴瘤;Extranodal NK/T-cell lymphoma, nasal type;106
249;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;106
250;C8411;頭、臉及頸部淋巴結之Sezary(塞札瑞)病;Sezary disease, lymph nodes of head, face, and neck;107
251;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;107
252;C96A;組織球性肉瘤;Histiocytic sarcoma;108
253;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;108
254;C9140;毛(髮)狀細胞白血病，未達到緩解;Hairy cell leukemia not having achieved remission;109
255;C9141;毛(髮)狀細胞白血病，緩解期;Hairy cell leukemia, in remission;109
256;C9142;毛(髮)狀細胞白血病，復發;Hairy cell leukemia, in relapse;109
257;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;109
258;C960;多病灶及多系統性（散佈性）蘭格漢氏-細胞組織球增生症;Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis;110
259;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;110
260;C962;惡性肥大細胞瘤;Malignant mast cell tumor;111
261;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;111
262;C8311;頭，臉及頸部淋巴結之被套細胞淋巴瘤;Mantle cell lymphoma, lymph nodes of head, face, and neck;112
263;C8331;頭，臉及頸部淋巴結之瀰漫性巨大B-細胞淋巴瘤;Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck;112
264;C8381;頭，臉及頸淋巴結之其他非濾泡型淋巴瘤;Other non-follicular lymphoma, lymph nodes of head, face, and neck;112
265;C8511;頭，臉及頸淋巴結之B細胞淋巴瘤;Unspecified B-cell lymphoma, lymph nodes of head, face, and neck;112
266;C8521;頭、臉及頸部淋巴結之縱膈(胸腺)巨大B細胞淋巴瘤;Mediastinal (thymic) large B-cell lymphoma, lymph nodes of head, face, and neck;112
267;C8581;頭、臉及頸部淋巴結之其他特定類型的非何杰金(氏)淋巴瘤;Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck;112
268;C8591;頭、臉及頸部淋巴結之非何杰金(氏)淋巴瘤;Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck;112
269;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;112
270;C969;淋巴、造血及相關組織之惡性腫瘤;Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified;113
271;C96Z;其他特定淋巴、造血及相關組織之惡性腫瘤;Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue;113
272;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;113
273;D100;唇良性腫瘤;Benign neoplasm of lip;114
274;D101;舌良性腫瘤;Benign neoplasm of tongue;115
275;D110;腮腺良性腫瘤;Benign neoplasm of parotid gland;116
276;D117;其他主要唾液腺良性腫瘤;Benign neoplasm of other major salivary glands;116
277;D119;未明示主要唾液腺良性腫瘤;Benign neoplasm of major salivary gland, unspecified;116
278;D102;口底部良性腫瘤;Benign neoplasm of floor of mouth;117
279;D1030;未明示部位口之良性腫瘤;Benign neoplasm of unspecified part of mouth;118
280;D1039;口其他部位之良性腫瘤;Benign neoplasm of other parts of mouth;118
281;D104;扁桃腺良性腫瘤;Benign neoplasm of tonsil;119
282;D105;口咽其他部位之良性腫瘤;Benign neoplasm of other parts of oropharynx;120
283;D164;顱骨及顏面骨之良性腫瘤;Benign neoplasm of bones of skull and face;121
284;D165;下頜骨良性腫瘤;Benign neoplasm of lower jaw bone;122
285;D1779;其他部位之脂肪瘤腫瘤;Benign lipomatous neoplasm of other sites;123
286;D179;良性脂肪瘤;Benign lipomatous neoplasm, unspecified;124
287;D210;頭、臉及頸部結締組織及其他軟組織之良性腫瘤;Benign neoplasm of connective and other soft tissue of head, face and neck;125
288;D220;唇部黑色素細胞痣;Melanocytic nevi of lip;126
289;D230;唇部皮膚良性腫瘤;Other benign neoplasm of skin of lip;126
290;D0000;口腔原位癌，未明示部位;Carcinoma in situ of oral cavity, unspecified site;127
291;D0001;唇黏膜和唇紅緣之原位癌;Carcinoma in situ of labial mucosa and vermilion border;127
292;D0002;口腔黏膜原位癌;Carcinoma in situ of buccal mucosa;127
293;D0003;牙齦及無齒的齒槽脊之原位癌;Carcinoma in situ of gingiva and edentulous alveolar ridge;127
294;D0004;軟顎原位癌;Carcinoma in situ of soft palate;127
295;D0005;硬顎原位癌;Carcinoma in situ of hard palate;127
296;D0006;口底部原位癌;Carcinoma in situ of floor of mouth;127
297;D0007;舌原位癌;Carcinoma in situ of tongue;127
298;D0008;咽部原位癌;Carcinoma in situ of pharynx;127
299;D040;唇皮膚原位癌;Carcinoma in situ of skin of lip;128
300;D37030;腮腺性態未明之腫瘤;Neoplasm of uncertain behavior of the parotid salivary glands;129
301;D37031;舌下腺性態未明之腫瘤;Neoplasm of uncertain behavior of the sublingual salivary glands;129
302;D37032;頜下腺性態未明之腫瘤;Neoplasm of uncertain behavior of the submandibular salivary glands;129
303;D37039;主要唾液腺性態未明之腫瘤;Neoplasm of uncertain behavior of the major salivary glands, unspecified;129
304;D3701;唇部性態未明之腫瘤;Neoplasm of uncertain behavior of lip;130
305;D3702;舌頭性態未明之腫瘤;Neoplasm of uncertain behavior of tongue;130
306;D3704;小唾液腺性態未明之腫瘤;Neoplasm of uncertain behavior of the minor salivary glands;130
307;D3705;咽部性態未明之腫瘤;Neoplasm of uncertain behavior of pharynx;130
308;D3709;口腔其他特定部位性態未明之腫瘤;Neoplasm of uncertain behavior of other specified sites of the oral cavity;130
309;G500;三叉神經痛;Trigeminal neuralgia;131
310;G501;非典型性臉痛;Atypical facial pain;132
311;G508;三叉神經其他疾患;Other disorders of trigeminal nerve;133
312;G509;三叉神經疾患;Disorder of trigeminal nerve, unspecified;134
313;G510;Bell 氏麻痺;Bell's palsy;135
314;G511;膝狀神經節炎;Geniculate ganglionitis;136
315;G512;Melkersson氏症候群;Melkersson's syndrome;137
316;G513;陣攣性半顏面痙攣;Clonic hemifacial spasm;137
317;G514;顏面肌顫搐;Facial myokymia;137
318;G518;顏面神經的其他疾患;Other disorders of facial nerve;137
319;G519;顏面神經疾患;Disorder of facial nerve, unspecified;138
320;I860;舌下靜脈曲張;Sublingual varices;139
321;K000;無齒症;Anodontia;140
322;K001;贅生齒;Supernumerary teeth;141
323;K003;斑點齒;Mottled teeth;142
324;K004;牙齒形成之障礙;Disturbances in tooth formation;143
325;K005;牙齒結構遺傳性異常，他處未歸類者;Hereditary disturbances in tooth structure, not elsewhere classified;144
326;K007;生齒徵候群;Teething syndrome;145
327;K009;牙齒發育疾患;Disorder of tooth development, unspecified;146
328;K030;牙齒過度磨耗;Excessive attrition of teeth;147
329;K031;牙齒磨損;Abrasion of teeth;148
330;K032;牙齒腐蝕;Erosion of teeth;149
331;K033;牙齒病理性吸收;Pathological resorption of teeth;150
332;K034;齒骨質增生症;Hypercementosis;151
333;K035;牙齒黏連;Ankylosis of teeth;152
334;K037;牙齒硬組織萌發後變色;Posteruptive color changes of dental hard tissues;153
335;K0389;牙齒硬組織其他特定疾病;Other specified diseases of hard tissues of teeth;154
336;K039;牙齒硬組織疾病;Disease of hard tissues of teeth, unspecified;155
337;K041;齒髓壞死;Necrosis of pulp;156
338;K042;齒髓變質;Pulp degeneration;157
339;K043;齒髓內異常硬組織形成;Abnormal hard tissue formation in pulp;158
340;K044;齒髓性急性根尖牙周組織炎;Acute apical periodontitis of pulpal origin;159
341;K047;未伴有膿竇之根尖周圍膿瘍;Periapical abscess without sinus;160
342;K046;根尖周圍膿瘍併膿竇;Periapical abscess with sinus;161
343;K048;齒根囊腫;Radicular cyst;162
344;K0500;急性齒齦炎，牙菌斑導致之;Acute gingivitis, plaque induced;163
345;K0501;急性齒齦炎，非牙菌斑導致之;Acute gingivitis, non-plaque induced;163
346;K060;齒齦萎縮;Gingival recession;164
347;K0532;慢性牙周炎，一般性;Chronic periodontitis, generalized;165
348;K036;牙齒沉附著[增積]物;Deposits [accretions] on teeth;166
349;K055;其他牙周疾病;Other periodontal diseases;167
350;K061;牙齦腫大;Gingival enlargement;167
351;K062;與創傷相關的牙齦及無齒性齒槽骨病灶;Gingival and edentulous alveolar ridge lesions associated with trauma;167
352;K068;牙齦及無齒性齒槽骨之其他特定疾患;Other specified disorders of gingiva and edentulous alveolar ridge;167
353;M2600;頷骨大小異常;Unspecified anomaly of jaw size;168
354;M2601;上頷骨增生;Maxillary hyperplasia;169
355;M2603;下頷骨增生;Mandibular hyperplasia;170
356;M2602;上頷骨發育不全;Maxillary hypoplasia;171
357;M2604;下頜骨發育不全;Mandibular hypoplasia;172
358;M2605;巨頰症;Macrogenia;173
359;M2606;小頦畸形;Microgenia;174
360;M2607;頜骨過度粗隆;Excessive tuberosity of jaw;175
361;M2609;其他特定之頜骨大小異常;Other specified anomalies of jaw size;175
362;M2610;頷骨與顱底關係異常;Unspecified anomaly of jaw-cranial base relationship;176
363;M2611;上頷骨不對稱;Maxillary asymmetry;177
364;M2612;其他頷骨不對稱;Other jaw asymmetry;178
365;M2619;其他特定頷骨與顱底關係異常;Other specified anomalies of jaw-cranial base relationship;179
366;M2620;齒弓關係異常;Unspecified anomaly of dental arch relationship;180
367;M26211;Angle's class I 咬合不正;Malocclusion, Angle's class I;180
368;M26212;Angle's class II 咬合不正;Malocclusion, Angle's class II;180
369;M26213;Angle's class III 咬合不正;Malocclusion, Angle's class III;180
370;M26219;Angle's class 咬合不正，未明示;Malocclusion, Angle's class, unspecified;180
371;M26220;前牙開咬之咬合關係;Open anterior occlusal relationship;180
372;M26221;後牙開咬之咬合關係;Open posterior occlusal relationship;180
373;M2623;齒列弓過度水平重疊;Excessive horizontal overlap;180
374;M2624;反向咬合;Reverse articulation;180
375;M2625;頜間距離異常;Anomalies of interarch distance;180
376;M2629;其他齒弓關係異常;Other anomalies of dental arch relationship;180
