id,nhi_code,nhi_mandarin,update_date,version
50,00166C,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,109/10/05,1
51,00167C,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,109/10/05,1
52,00168C,一般門診診察費—基層院所門診診察費 6.山地離島地區（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑(≦50),109/10/05,1
53,00169C,一般門診診察費—基層院所門診診察費 6.山地離島地區 （6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑(≦50),109/10/05,1
54,00170A,一般門診診察費－醫院門診診察費（不含牙科門診）１．醫學中心及區域醫院（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,109/10/05,1
55,00171A,一般門診診察費－醫院門診診察費（不含牙科門診）１．醫學中心及區域醫院（６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,109/10/05,1
56,00172B,一般門診診察費－醫院門診診察費（不含牙科門診）２．地區醫院（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,109/10/05,1
57,00173B,一般門診診察費－醫院門診診察費（不含牙科門診）２．地區醫院（６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,109/10/05,1
58,00174B,一般門診診察費－醫院門診診察費（不含牙科門診）３．金門馬祖以外之山地離島地區（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,109/10/05,1
59,00175B,一般門診診察費－醫院門診診察費（不含牙科門診）３．金門馬祖以外之山地離島地區（６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,109/10/05,1
60,00176B,一般門診診察費－醫院門診診察費（不含牙科門診）４．金門馬祖地區（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,109/10/05,1
61,00177B,一般門診診察費－醫院門診診察費（不含牙科門診）４．金門馬祖地區（６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,109/10/05,1
62,00178B,精神科門診診察費 － 每位醫師每日門診量在四十五人次以下部分(≦45) 1.醫院（2)開具慢性病連續處方並交付特約藥局調劑,109/10/05,1
63,00179B,精神科門診診察費 － 每位醫師每日門診量在四十五人次以下部分(≦45) 1.醫院（4）開具慢性病連續處方並由本院所自行調劑,109/10/05,1
64,00180B,精神科門診診察費 － 每位醫師每日門診量在四十五人次以下部分(≦45)1.醫院（5)開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,109/10/05,1
65,00181B,精神科門診診察費 －每位醫師每日門診量在四十五人次以下部分(≦45) 1.醫院（6)開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,109/10/05,1
66,00184C,精神科門診診察費 － 每位醫師每日門診量在四十五人次以下部分(≦45) 2.基層診所（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,109/10/05,1
67,00185C,精神科門診診察費 － 每位醫師每日門診量在四十五人次以下部分(≦45) 2.基層診所（6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,109/10/05,1
68,00186C,精神科門診診察費 － 每位醫師每日門診量在超過四十五人次部分(＞45)（1）處方交付特約藥局調劑,109/10/05,1
69,00187C,精神科門診診察費 － 每位醫師每日門診量在超過四十五人次部分(＞45)（2）開具慢性病連續處方並交付特約藥局調劑,109/10/05,1
70,00188C,精神科門診診察費 － 每位醫師每日門診量在超過四十五人次部分(＞45)（3）未開處方或處方由本院所自行調劑,109/10/05,1
71,00189C,精神科門診診察費 － 每位醫師每日門診量在超過四十五人次部分（＞45）（4）開具慢性病連續處方並由本院所自行調劑,109/10/05,1
72,00190C,精神科門診診察費 － 每位醫師每日門診量在超過四十五人次部分（＞45）（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,109/10/05,1
73,00191C,精神科門診診察費 － 每位醫師每日門診量在超過四十五人次部分（＞45）（6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,109/10/05,1
74,00197C,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分(≦40）2-1)開具慢性病連續處方並交付特約藥局調劑(1-30人),109/10/05,1
75,00198C,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分(≦40）2-2)開具慢性病連續處方並交付特約藥局調劑(31-40人),109/10/05,1
76,00199C,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分(≦40）4-1)開具慢性病連續處方並由本院所自行調劑(1-30人),109/10/05,1
77,00200C,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分(≦40）4-2)開具慢性病連續處方並由本院所自行調劑(31-40人),109/10/05,1
78,00201B,急診診察費(按檢傷分類) 檢傷分類第一級,109/10/05,1
79,00202B,急診診察費(按檢傷分類) 檢傷分類第二級,109/10/05,1
80,00203B,急診診察費(按檢傷分類) 檢傷分類第三級,109/10/05,1
81,00204B,急診診察費(按檢傷分類)檢傷分類第四級,109/10/05,1
82,00205C,一般門診診察費－基層院所門診診察費  6.山地離島地區 （1）處方交付特約藥局調劑(51-70),109/10/05,1
83,00206C,一般門診診察費－基層院所門診診察費  6.山地離島地區 （2）開具慢性病連續處方並交付特約藥局調劑(51-70),109/10/05,1
84,00207C,一般門診診察費－基層院所門診診察費  6.山地離島地區 （3）未開處方或處方由本院所自行調劑(51-70),109/10/05,1
85,00208C,一般門診診察費－基層院所門診診察費  6.山地離島地區 （4）開具慢性病連續處方並由本院所自行調劑(51-70),109/10/05,1
86,00209C,一般門診診察費—基層院所門診診察費 6.山地離島地區（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑(51-70),109/10/05,1
87,00210C,一般門診診察費—基層院所門診診察費 6.山地離島地區 （6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑(51-70),109/10/05,1
88,00211C,一般門診診察費－基層院所門診診察費  6.山地離島地區 （1）處方交付特約藥局調劑(71-150),109/10/05,1
89,00212C,一般門診診察費－基層院所門診診察費  6.山地離島地區 （2）開具慢性病連續處方並交付特約藥局調劑(71-150),109/10/05,1
90,00213C,一般門診診察費－基層院所門診診察費  6.山地離島地區 （3）未開處方或處方由本院所自行調劑(71-150),109/10/05,1
91,00214C,一般門診診察費－基層院所門診診察費  6.山地離島地區 （4）開具慢性病連續處方並由本院所自行調劑(71-150),109/10/05,1
92,00215C,一般門診診察費—基層院所門診診察費 6.山地離島地區（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑(71-150),109/10/05,1
93,00216C,一般門診診察費—基層院所門診診察費 6.山地離島地區 （6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑(71-150),109/10/05,1
94,00217C,一般門診診察費－基層院所門診診察費  6.山地離島地區 （1）處方交付特約藥局調劑(>150),109/10/05,1
95,00218C,一般門診診察費－基層院所門診診察費  6.山地離島地區 （2）開具慢性病連續處方並交付特約藥局調劑(>150),109/10/05,1
96,00219C,一般門診診察費－基層院所門診診察費  6.山地離島地區 （3）未開處方或處方由本院所自行調劑(>150),109/10/05,1
97,00220C,一般門診診察費－基層院所門診診察費  6.山地離島地區 （4）開具慢性病連續處方並由本院所自行調劑(>150),109/10/05,1
98,00221C,一般門診診察費—基層院所門診診察費 6.山地離島地區（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑(>150),109/10/05,1
99,00222C,一般門診診察費—基層院所門診診察費 6.山地離島地區 （6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑(>150),109/10/05,1
100,00223C,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分(1-2）處方交付特約藥局調劑(31-40人次）,109/10/05,1
101,00224C,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分（3-2）未開處方或處方由本院所自行調劑(31-40人次),109/10/05,1
102,00225B,急診診察費(按檢傷分類)檢傷分類第五級,109/10/05,1
103,00226B,一般門診診察費－醫院門診診察費（不含牙科門診）５．地區醫院假日加計－地區醫院週六門診診察費加計,109/10/05,1
104,00227B,一般門診診察費－醫院門診診察費（不含牙科門診）５．地區醫院假日加計－地區醫院週日及國定假日門診診察費加計,109/10/05,1
105,00228B,精神科門診診察費－地區醫院假日加計－地區醫院週六精神科門診診察費加計,109/10/05,1
106,00229B,精神科門診診察費－地區醫院假日加計－地區醫院週日及國定假日精神科門診診察費加計,109/10/05,1
107,00230C,一般門診診察費－基層院所門診診察費  6.山地離島地區 (1)每位醫師每日門診量在五十人次以下部分(≦50) 1-1)處方交付特約藥局調劑(1-30人),109/10/05,1
108,00231C,一般門診診察費－基層院所門診診察費  6.山地離島地區 (1)每位醫師每日門診量在五十人次以下部分(≦50) 1-2)處方交付特約藥局調劑(31-50人),109/10/05,1
109,00232C,一般門診診察費－基層院所門診診察費  6.山地離島地區 (1)每位醫師每日門診量在五十人次以下部分(≦50) 2-1)開具慢性病連續處方並交付特約藥局調劑(1-30人),109/10/05,1
110,00233C,一般門診診察費－基層院所門診診察費  6.山地離島地區 (1)每位醫師每日門診量在五十人次以下部分(≦50) 2-2)開具慢性病連續處方並交付特約藥局調劑(31-50人),109/10/05,1
111,00234C,一般門診診察費－基層院所門診診察費  6.山地離島地區 (1)每位醫師每日門診量在五十人次以下部分(≦50) 3-1)未開處方或處方由本院所自行調劑(1-30人),109/10/05,1
112,00235C,一般門診診察費－基層院所門診診察費  6.山地離島地區 (1)每位醫師每日門診量在五十人次以下部分(≦50) 3-2)未開處方或處方由本院所自行調劑(31-50人),109/10/05,1
113,00236C,一般門診診察費－基層院所門診診察費  6.山地離島地區 (1)每位醫師每日門診量在五十人次以下部分(≦50) 4-1)開具慢性病連續處方並由本院所自行調劑(1-30人),109/10/05,1
114,00237C,一般門診診察費－基層院所門診診察費  6.山地離島地區 (1)每位醫師每日門診量在五十人次以下部分(≦50) 4-2)開具慢性病連續處方並由本院所自行調劑(31-50人),109/10/05,1
115,00238C,精神科門診診察費 －每位醫師每日門診量在四十五人次以下部分(≦45) 2.基層診所  1-1)處方交付特約藥局調劑(1-30人),109/10/05,1
116,00239C,精神科門診診察費 －每位醫師每日門診量在四十五人次以下部分(≦45) 2.基層診所  1-2)處方交付特約藥局調劑(31-45人),109/10/05,1
117,00240C,精神科門診診察費 －每位醫師每日門診量在四十五人次以下部分(≦45) 2.基層診所  2-1)開具慢性病連續處方並交付特約藥局調劑(1-30人),109/10/05,1
118,00241C,精神科門診診察費 －每位醫師每日門診量在四十五人次以下部分(≦45) 2.基層診所  2-2)開具慢性病連續處方並交付特約藥局調劑(31-45人),109/10/05,1
119,00242C,精神科門診診察費 －每位醫師每日門診量在四十五人次以下部分(≦45) 2.基層診所  3-1)未開處方或處方由本院所自行調劑(1-30人),109/10/05,1
120,00243C,精神科門診診察費 －每位醫師每日門診量在四十五人次以下部分(≦45) 2.基層診所  3-2)未開處方或處方由本院所自行調劑(31-45人),109/10/05,1
121,00244C,精神科門診診察費 －每位醫師每日門診量在四十五人次以下部分(≦45) 2.基層診所  4-1)開具慢性病連續處方並由本院所自行調劑(1-30人),109/10/05,1
122,00245C,精神科門診診察費 －每位醫師每日門診量在四十五人次以下部分(≦45) 2.基層診所  4-2)開具慢性病連續處方並由本院所自行調劑(31-45人),109/10/05,1
123,00301C,中度特定身心障礙(非精神疾病)者診察費,109/10/05,1
124,00302C,中度以上精神疾病病人診察費,109/10/05,1
125,00303C,輕度特定身心障礙者(非精神疾病)及失能老人診察費,109/10/05,1
126,00304C,身心障礙者轉出醫療院所至特殊醫療服務計畫院所之轉診費用,109/10/05,1
127,00305C,符合牙醫門診加強感染管制實施方案之牙科門診診察費1.每位醫師每日門診量在二十人次以下部份（≦20）－處方交付特約藥局調劑,109/10/05,1
128,00306C,符合牙醫門診加強感染管制實施方案之牙科門診診察費1.每位醫師每日門診量在二十人次以下部份（≦20）－未開處方或處方由本院所自行調劑,109/10/05,1
129,00307C,符合牙醫門診加強感染管制實施方案之牙科門診診察費2.每位醫師每日門診量超過二十人次部分(＞20)－處方交付特約藥局調劑,109/10/05,1
130,00308C,符合牙醫門診加強感染管制實施方案之牙科門診診察費2.每位醫師每日門診量超過二十人次部分(＞20)－未開處方或處方由本院所自行調劑,109/10/05,1
131,00309C,符合牙醫門診加強感染管制實施方案之牙科門診診察費3.山地離島地區－處方交付特約藥局調劑,109/10/05,1
132,00310C,符合牙醫門診加強感染管制實施方案之牙科門診診察費3.山地離島地區－未開處方或處方由本院所自行調劑,109/10/05,1
133,00311C,符合牙醫門診加強感染管制實施方案之重度以上特定身心障礙(非精神疾病)者診察費,109/10/05,1
134,00312C,符合牙醫門診加強感染管制實施方案之中度特定身心障礙(非精神疾病)者診察費,109/10/05,1
135,00313C,符合牙醫門診加強感染管制實施方案之中度以上精神疾病病人診察費,109/10/05,1
136,00314C,符合牙醫門診加強感染管制實施方案之輕度特定身心障礙者(非精神疾病)及失能老人診察費,109/10/05,1
137,00315C,符合牙醫門診加強感染管制實施方案之環口全景X光初診診察,109/10/05,1
138,00316C,符合牙醫門診加強感染管制實施方案之年度初診X光檢查,109/10/05,1
139,00317C,符合牙醫門診加強感染管制實施方案之高齲齒罹患率族群年度初診X光片檢查,109/10/05,1
140,01,第1次兒童衛教指導費(可搭配第1次兒童預防保健申報),109/10/05,1
141,01015C,急診診察費,109/10/05,1
142,01018B,精神科門診診察費 － 每位醫師每日門診量在四十五人次以下部分(≦45) 1.醫院（1)處方交付特約藥局調劑,109/10/05,1
143,01019B,精神科門診診察費 － 每位醫師每日門診量在四十五人次以下部分(≦45) 1.醫院（1)未開處方或處方由本院自行調劑,109/10/05,1
144,01021C,精神科急診診察費,109/10/05,1
145,01023C,高危險早產兒特別門診診察費,109/10/05,1
146,01024C,山地離島地區醫療報酬–山地離島地區醫師巡迴醫療費（半天）,109/10/05,1
147,01027C,山地離島地區醫療報酬–山地離島地區護理人員巡迴醫療費（半天）,109/10/05,1
148,01028C,山地離島地區醫療報酬–支援二、三、四級離島無醫師地區醫療費（一天）,109/10/05,1
149,01030D,助產所產後檢查,109/10/05,1
150,01033C,山地離島地區醫療報酬–山地離島地區藥事人員巡迴醫療費（半天）,109/10/05,1
151,01034B,辦理轉診費_回轉及下轉-使用保險人電子轉診平台,109/10/05,1
152,01035B,辦理轉診費_回轉及下轉-未使用保險人電子轉診平台,109/10/05,1
153,01036C,辦理轉診費_上轉-使用保險人電子轉診平台,109/10/05,1
154,01037C,辦理轉診費_上轉-未使用保險人電子轉診平台,109/10/05,1
155,01038C,接受轉診門診診察費加算,109/10/05,1
156,01040C,職業病初診、第一、二、三次複診診察費-處方交付特約藥局調劑,109/10/05,1
157,01050C,職業病初診、第一、二、三次複診診療費-開具慢性病連續處方並交付特約藥局調劑,109/10/05,1
158,01060C,職業病初診、第一、二、三次複診診察費-未開處方或處方由本院所自行調劑,109/10/05,1
159,01070C,職業病初診、第一、二、三次複診診察費-開具慢性病連續處方並由本院所自行調劑,109/10/05,1
160,01075C,職業性醫學科診斷性會談費,109/10/05,1
161,01076B,尿中無機砷檢查,109/10/05,1
162,01077B,試壓耐氧檢查,109/10/05,1
163,01078B,血清銦檢查,109/10/05,1
164,01080C,職業病初診、第一、二、三次複診診察費-開具連續二次以上調劑，而且每次調劑二十八天以上之慢性病連續處方並交付特約藥局調劑,109/10/05,1
165,01090C,職業病初診、第一、二、三次複診診察費-開具連續二次以上調劑，而且每次調劑二十八天以上之慢性病連續處方並由本院所自行週劑,109/10/05,1
166,01188C,勞工保險職業傷害門診初診加給診察費,109/10/05,1
167,01271C,環口全景X光初診診察,109/10/05,1
168,01272C,年度初診X光檢查,109/10/05,1
169,01273C,高齲齒罹患率族群年度初診X光片檢查,109/10/05,1
170,02,第2次兒童衛教指導費(可搭配第2次兒童預防保健申報),109/10/05,1
171,02005B,住院會診費,109/10/05,1
172,02006K,一般病床住院診察費(天),109/10/05,1
173,02007A,一般病床住院診察費(天),109/10/05,1
174,02008B,一般病床住院診察費(天),109/10/05,1
175,02010B,燒傷病床住院診察費(天),109/10/05,1
176,02011K,加護病床住院診察費(天),109/10/05,1
177,02012A,加護病床住院診察費(天),109/10/05,1
178,02013B,加護病床住院診察費(天),109/10/05,1
179,02014K,隔離病床住院診察費(天),109/10/05,1
180,02015A,隔離病床住院診察費(天),109/10/05,1
181,02016B,隔離病床住院診察費(天),109/10/05,1
182,02017K,新生兒中重度住院診察費(天),109/10/05,1
183,02018A,新生兒中重度住院診察費(天),109/10/05,1
184,02019B,新生兒中重度住院診察費(天),109/10/05,1
185,02020B,緩和醫療家庭諮詢費,109/10/05,1
186,02021K,慢性病床住院診察費(天),109/10/05,1
187,02022A,慢性病床住院診察費(天),109/10/05,1
188,02023B,慢性病床住院診察費(天),109/10/05,1
189,02024B,高危險妊娠住院診察費,109/10/05,1
190,02025B,出院準備及追蹤管理費,109/10/05,1
191,02027B,器官移植協調管理費,109/10/05,1
192,03,第3次兒童衛教指導費(可搭配第3次兒童預防保健申報),109/10/05,1
193,03001K,急性一般病床（床/天）–病房費,109/10/05,1
194,03002A,急性一般病床（床/天）–病房費,109/10/05,1
195,03003BA,慢性呼吸照護病房病床費/天,109/10/05,1
196,03004B,急性一般病床（床/天）–病床費,109/10/05,1
197,03005K,經濟病床（床/天）-病房費,109/10/05,1
198,03006A,經濟病床（床/天）–病房費,109/10/05,1
199,03008B,經濟病床（床/天）–病房費,109/10/05,1
200,03009K,嬰兒病床(床/天)--病房費,109/10/05,1
201,03010E,加護病床（床/天）-病房費,109/10/05,1
202,03011F,加護病床（床/天）–病房費,109/10/05,1
203,03012G,加護病床（床/天）–病房費,109/10/05,1
204,03012GA,醫學中心亞急性呼吸照護病房病床費/天,109/10/05,1
205,03013HA,區域醫院亞急性呼吸照護病房病床費/天,109/10/05,1
206,03014A,精神科加護病床（床/天）–病房費,109/10/05,1
207,03016B,燒傷病床 (床/天）–病房費,109/10/05,1
208,03017A,燒傷加護病床（床/天）–病房費,109/10/05,1
209,03018A,急診觀察床（床/天）–病房費(第二天起),109/10/05,1
210,03019B,急診觀察床（床/天）–病房費(第二天起),109/10/05,1
211,03019BA,觀察病床（６小時）,109/10/05,1
212,03020B,隔離病床( 床/天）1.普通隔離病床–病房費,109/10/05,1
213,03021B,隔離病床( 床/天）2.正壓隔離病床–病房費,109/10/05,1
214,03022K,骨髓移植隔離病床（床/天）–病房費,109/10/05,1
215,03023A,嬰兒病床(床/天)--病房費,109/10/05,1
216,03024B,嬰兒病床(床/天)--病房費,109/10/05,1
217,03025B,精神科加護病床（床/天）–病房費,109/10/05,1
218,03026K,急性一般病床（床/天）–護理費,109/10/05,1
219,03027A,急性一般病床（床/天）–護理費,109/10/05,1
220,03028BA,慢性呼吸照護病房護理費/天,109/10/05,1
221,03029B,急性一般病床（床/天）–護理費,109/10/05,1
222,03030K,經濟病床（床/天）–護理費,109/10/05,1
223,03031A,經濟病床（床/天）–護理費,109/10/05,1
224,03033B,經濟病床（床/天）–護理費,109/10/05,1
225,03034K,嬰兒病床(床/天)--護理費,109/10/05,1
226,03035A,嬰兒病床(床/天)--護理費,109/10/05,1
227,03036B,嬰兒病床(床/天)--護理費,109/10/05,1
228,03037A,精神科加護病床（床/天）–護理費,109/10/05,1
